Region,Homes Sold
"Chicago, IL",2327
"San Diego, CA",1477
"San Diego, CA",1396
"San Diego, CA",1404
"Boston, MA",496
"Seattle, WA",1243
"Seattle, WA",643
"Chicago, IL",1960
"Los Angeles, CA",2160
"Los Angeles, CA",2524
"Los Angeles, CA",2689
"Boston, MA",448
"San Diego, CA",1543
"Chicago, IL",2375
"Chicago, IL",2847
"San Diego, CA",1055
"Boston, MA",770
"Washington, DC",768
"Boston, MA",472
"Boston, MA",844
"San Jose, CA",925
"Chicago, IL",2110
"San Francisco, CA",527
"Seattle, WA",527
"San Francisco, CA",472
"Seattle, WA",989
"Chicago, IL",2598
"Boston, MA",578
"Washington, DC",708
"San Francisco, CA",402
"Los Angeles, CA",3145
"Los Angeles, CA",2940
"San Diego, CA",1417
"Chicago, IL",2598
"Los Angeles, CA",2465
"Boston, MA",676
